Id,Code,Name,Description,Category
387,IP3-4-3-1,Land cover classification system (LCCS),The Land Cover Classification System (LCCS) was developed by FAO to provide a consistent framework for the classification and mapping of land cover. Its main objectives were to overcome the rigidity of a-priori land cover classifications - which in many practical situations do not allow easy assignment into one of the pre-defined classes and are therefore not very suitable for mapping. LCCS instead opted for an approach based on two main phases. The first phase is an initial ‘Dichotomous Phase’ - in which eight major land cover types are defined: (1) Cultivated and Managed Terrestrial Areas - (2) Natural and Semi-Natural Terrestrial Vegetation - (3) Cultivated Aquatic or Regularly Flooded Areas - (4) Natural and Semi-Natural Aquatic or Regularly Flooded Vegetation - (5) Artificial Surfaces and Associated Areas - (6) Bare Areas - (7) Artificial Waterbodies - Snow and Ice - and (8) Natural Waterbodies - Snow and Ice. The Dichotomous Phase is followed by a subsequent ‘Modular-Hierarchical Phase’ - in which land cover classes are created by the combination of sets of pre-defined classifiers - which are different for each of the eight major land cover types. For example - common classifiers used for (semi-) natural terrestrial vegetation types are Life Form - Cover - Height - Macropattern. For aquatic or regularly flooded natural and semi-natural vegetation - water seasonality is an indispensable classifier. LCCS offers several advantages from a conceptual point of view. LCCS is a real a priori classification system in the sense that - for the classifiers considered - it covers all their possible combinations. The classification is also hierarchical and the more classifiers used - the greater the detail of the defined land cover class. The classes derived from the proposed classification system are all unique and unambiguous - due to the internal consistency and systematic description of the classes. LCCS is designed to map at a variety of scales - from small to large. From a practical viewpoint LCCS offers several advantages: (1) easy incorporation into GIS and databases - (2) allows flexible response to information available in a given area - project budget and time constraints - (3) unlinks the field data collection from the interpretation process.,NONE
388,IP3-4-3,Classification schemes (taxonomies),Long-term monitoring of land cover and land use are particularly relevant for land ecosystem monitoring. Therefore - baseline datasets are necessary that allow assessing changes of land cover and land use where the class definitions remain consistent over time. Accordingly - classification schemes have been established that adhere to taxonomically correct definitions of classes of information organized according to logical criteria. If hard classification is to be performed (i.e. without fuzzy class boundaries) - the classes in the classification system should normally be mutually exclusive - exhaustive - and hierarchical. Mutual exclusive classes have no taxonomic overlap and assign a land cover patch to a single class. An exhaustive classification scheme is able to cover the area of interest comprehensively and leaves no land cover patch unassigned. A hierarchical system allows combining sub-classes into higher-level categories.\rFrom a remote sensing classification perspective - it becomes clear that a classification scheme consists of information classes defined by human beings. Conversely - spectral classes are those inherent to EO data. An analyst must identify spectral classes and label them as information classes that satisfy bureaucratic (or scientific requirements). Additionally - the advantage of using established classification schemes is that their use in scientific studies and applications produces results that are comparable to other studies and suitable for sharing of data.\rEstablished classification schemes include: CORINE land cover (CLC) - Land cover classification system (LCCS) - American Planning Association land-based classification standard - United States Geological Survey land-use/land-cover classification system for remote sensor data - U.S. Department of the Interior Fish & Wildlife Service classification of wetland and deep water habitats of the United States - U.S. National Vegetation Classification system (NVCS) - International Geosphere-Biosphere Program IGBP Land cover classification system.,REMOTE SENSING
389,IP3-4-4,Clustering (unsupervised),Unsupervised methods are defined as the identification of natural groups - or structures - within existing data. Clustering requires only the number of to-be generated classes as an input parameter and assigns spectrally defined classes to an image.,NONE
390,IP3-4-5-1,Production system,A production system performs automatic transformation of remote sensing imagery into useful information (such as biophysical parameters - categorical maps etc). An example can be a preliminary pixel-based classifier that works top-down (deductive - physical model-driven - prior knowledge-based) and arrives at preliminary classes for each pixel of an image. Such a production system does not require interaction of an operator. The process makes use of a decision tree that encodes the prior knowledge for assigning pixels to a class.,REMOTE SENSING
391,IP3-4-5,Decision trees,Decision trees is a data mining technique used in different disciplines including Remote Sensing. It uses a tree-like prediction model to identify a pattern in the input data. One of the most popular decision tree algorithms is the CART (Classification and Regression Tree) algorithm.,REMOTE SENSING
392,IP3-4-6-1,Convolutional neural networks (CNN),Convolutional Neural Networks (CNNs) are among the most popular deep learning methods.,NONE
393,IP3-4-6,Deep learning,Deep learning approaches have classically been divided into spatial learning (for example - convolutional neural networks for object classification) and sequence learning (for example - speech recognition),NONE
394,IP3-4-7-1,Random forest (RF),The RF classifier is an ensemble classifier that uses a set of Classification and Regression Trees (CARTs) to make a prediction The trees are created by drawing a subset of training samples through replacement (a bagging approach).,NONE
395,IP3-4-7-2,Support vector machines (SVM),In machine learning - support vector machines (SVMs) are supervised non-parametric statistical learning techniques with associates learning algorithms that analysze data used for both classification and regression analysis. SVM algorithm was originally designed for binary classification. The SVM is based on the main hypothesis that the training set is linearly separable. Given a set of training examples - each marked as belonging to one or another of two categories - an SVM training algorithm builds a model that can assign each new occurrence into one of these two categories - making it a non-probabilistic binary linear classifier. The SVM model is a representation of the examples as points in space - mapped so that the algorithm can find the optimal line (hyperplane) which separates with minimum error the training set - and maximizes the distance - named the “gap” - between the objects of both classes and the hyperplane. Thus - instead of using the whole available training set to describe classes - SVM uses only those training samples that describe class boundaries (support vectors) - thought it can be more efficient than other algorithm because it uses a subset of training points. New occurs are then mapped into that same space and predicted to belong to a category based on the side of the gap on which they fall. In addition to performing linear classification - SVMs can also efficiently perform a non-linear classification using what is called the kernel trick - implicitly mapping their inputs into high-dimensional feature spaces. Unfortunately - because of the technique used for separating classes SVM is less effective on noisier datasets with overlapping classes. When data are unlabelled - supervised learning is not possible - and an unsupervised learning approach is required. SVM is used for text classification tasks such as category assignment - spam detection and sentimental analysis. It is also commonly used for image recognition - performing particularly well in aspect-based recognition and colour-based recognition. SVM also plays a vital role in many areas of handwritten digit recognition - such as postal automation services.,NONE
396,IP3-4-7,Machine learning,Field of study that gives computers the ability to learn without being explicitly programmed,NONE
397,IP3-4-8,Mental concepts and categories,Image classification operator needs a set of terms to express the characteristics of an image. These characteristics are called interpretation elements and are used to define interpretation keys: tone/hue - texture - pattern - shape - size - height/elevation - location/association,NONE
398,IP3-4-9,Sampling strategies,Sampling strategies or sampling pattern specifies the arrangement of observations used for training and/or validation purposes.\rTypically - the simple random sample of a geographic region is defined by first dividing the region to be studied into a network of cells. Each row and column in the network is numbered - then a random number table is used to select values that - taken two at a time - form coordinate pairs for defining the locations of observations. Because the coordinates are selected at random - the locations they define should be positioned at random. The random sample is probably the most powerful sampling strategy available as it yields data that can be subjected to analysis using inferential statistics.\rA stratified sampling pattern assigns observations to subregions of the image to ensure that the sampling effort is distributed in a rational manner. For example - a stratified sampling effort plan might assign specific numbers of observations to each category on the map to be evaluated. This procedure would ensure that every category would be sampled.\rSystematic sampling positions observations at equal intervals according to a specific strategy. Because selection of the starting point predetermines the positions of all subsequent observations - data derived from systematic samples will not meet the requirements of inferential statistics for randomly selected observations.,NONE
399,IP3-4,Image classification,The process of image classification extracts information about semantic labels of pixels or objects (i.e. regions) from imagery. Apart of input imagery - the process requires an input set of target classes (classification scheme) for which their spectral (and other) properties have to be identified. A classification method has to be selected that transforms the image data and the classification scheme into semantic map information. In complement to the resulting sematic labelling products - a secondary outcome are instructions or rulesets with the used parameters that constitute the documentation of the classification process.\rThe input imagery consists of one or more images (optical and/or SAR data) of a specific geographic area - collected in multiple bands of the electromagnetic spectrum (that may have already undergone certain pre-processing steps; determined by the purpose). Additionally - the imagery may include derived spectral indices - principal components - filtered bands - or other features to support the classification process.\rThe classification purpose defines the information about the target classes. It includes classification schemes (taxonomies) - spectral signatures for each class and - mental concepts and categories about the classes (that enable an analyst to distinguish classes by texture - spatial relationships etc.). Often - training areas are used to understand how an object of a particular class is discernible in the available imagery and separable from other classes. Both the input imagery and the chosen classification method determine which features of each class can be exploited for classification. For example - spectral signatures of the target classes (extracted from training areas with known class label) may be a suitable input for extracting information with a pixel-based classification. For shape features - objects are a pre-requirement - derived with segmentation. They are only available with object-based classification approaches.\rClassification methods: Various methods exist that can be categorized according to the classification logic that they follow when transforming the input information into the output semantic labelling products. These can be parametric or nonparametric - supervised or unsupervised - per-pixel or object-oriented - semi-automated or fully automatic - and hybrid approaches. Classification methods are for example bayesian techniques like conditional probability or maximum likelihood - clustering (unsupervised) - decision trees - deep learning and machine learning.,NONE
400,IP3-5-1,Edge-based segmentation,Edge detection is a fundamental tool used in many image processing applications to obtain information from the frames as a precursor step to feature extraction and object segmentation. This process detects outlines of an object and boundaries between objects and the background in the image. An edge-detection filter can also be used to improve the appearance of blurred image.,NONE
401,IP3-5-2,Histogram-based segmentation,Histogram-based segmentation makes use of histogram to select the gray levels for grouping the pixels into regions - e.g. background and the object of interest,NONE
402,IP3-5-3,Local variance,Local variance can be calculated as the value of standard deviation in a small neighborhood (e.g. 3x 3 moving window) - then computing the mean of these values over the entire image. The obtained value is an indicator of the local variability in the image.,NONE
403,IP3-5-4,Mean-shift segmentation,Mean Shift is defined as finding modes in a set of data samples - manifesting an underlying probability density function (PDF).,NONE
404,IP3-5-5,Regionalisation,Regionalization is an important concept in Geographic Information Science for synthesizing multi-dimensional data into homogeneous objects through spatially constrained clustering methods,NONE
405,IP3-5-6-1,Multi-resolution segmentation,Multi-resolution segmentation is a region-growing algorithm. It relies on several parameters - which need to be tuned. These include the scale parameter (SP) - which dictates the size and homogeneity of the resultant objects.,NONE
406,IP3-5-6-2,Watershed segmentation,Watershed segmentation is a region-based method that has its origins in mathematical morphology. In watershed segmentation an image is regarded as a topographic landscape with ridges and valleys. The elevation values of the landscape are typically defined by the gray values of the respective pixels or their gradient magnitude. Based on such a 3D representation the watershed transform decomposes an image into catchment basins. For each local minimum - a catchment basin comprises all points whose path of steepest descent terminates at this minimum. Watersheds separate basins from each other. The watershed transform decomposes an image completely and thus assigns each pixel either to a region or a watershed.,NONE
407,IP3-5-6,Region-based segmentation,Region-based segmentation algorithms can be devided into region growing - merging and splitting techniques and their combinations. Region merging starts from all pixels on the pixel level and iteratively aggregates pixels into objects until some conditions of homogeneity imposed by the user are met.,NONE
408,IP3-5-7,Spatial autocorrelation,Spatial autocorrelation is the term used to describe the presence of systematic spatial variation in a variable.,NONE
409,IP3-5,Image segmentation,The term image segmentation denotes the process of algorithmically grouping neighbouring pixels that are similar. What sounds rather straight forward - is in fact a great computational challenge - some even call it an ill-posed problem - because there is a high degree of ambiguity in this process. \rThe two attributes in the general definition provided above - i.e. neighbouring and similar - evoke the principles of regionalisation as a fundamental concept in geography. Regionalisation is the bottom-up approach to congregate adjacent elements with the aim to form a larger unit. (Conversely - this could be understood in a top-down manner when subdividing a larger whole into smaller homogeneous units). This follows the general notion of hierarchical organisation according to general systems theory (GST). The organisation of a state in smaller administrative units is a good example for a hierarchical structure - the composition of the human body by organs - cells - etc. another. In image analysis such regions are commonly referred to image regions - originating from the concept of “photomorphic regions” - literally meaning regions formed on images – originally by human interpreter through manual delineation. Today - advanced pixel grouping algorithms aim to delineate homogenous regions in an image automatically. As those regions usually are assumed to match with real-world objects - it is often stated in literature that image segmentation generates image objects. Deriving some general heuristics on their properties (colour - size - shape - orientation - etc.) we can label these objects according to a given semantic scheme. The procedure of object delineation and classification using object features and relations is a fundamental principle in object-based image analysis (OBIA). \rDue to the effect of spatial autocorrelation (the tendency of neighbouring pixels to be similar irrespective of scale or geographical location) - pixel grouping is ambiguous and by no means trivial - but not arbitrary either. Intuitively - image regions are those quasi-homogeneous areas that we perceive as landscape units on a specific scene (a lake - a forest patch - a single tree - a building - a residential area). According to hierarchy theory - we can assume that we find multiple scales within a single image even - according to the level of detail we are interested in. Whether or not a specific grouping of pixels is considered valid - e.g. because it corresponds to a real-world object - can hardly be answered unanimously - but rather needs to be judged by experts in the respective application domain. That is why often in literature we find the term ‘meaningful objects’. \rImage segmentation is as a sub-field of computer vision and aims to apply computer algorithms to generate image regions (a.k.a. tokens) within digital image analysis. There are several strategies for performing image segmentation - all resting on the following general principles: (1) regions do not overlap; (2) regions are (relatively) homogenous; regions are (relatively) different to neighbouring regions; regions are fairly equally sized (belong to one scale domain) but can be built in several hierarchical scales. General strategies include (1) edge-based segmentation and (2) region-based segmentation - and multi-scale segmentation as a specific case. \rAlso referred to spatial classification emphasizing the constraint of spatial contingency - image segmentation aggregates neighbouring pixels - but – as compared to statistical clustering techniques – does not provide a unique set of classes (either semantic or statistic) in the feature space. \rRecently the term semantic segmentation has emerged in the machine-learning community - which is in fact a combination of segmentation and categorisation (labelling) via deep learning methods (e.g. convolutional neural networks).,NONE
410,IP3-6-1,Combined filtering,Combined filtering uses different filters to arrive at more complex filters for specific purposes. \rFor example - Laplacian filters are derivative filters used to find areas of rapid change (edges) in images. Since derivative filters are very sensitive to noise - it is common to smooth the image (e.g. - using a Gaussian filter) before applying the Laplacian. This two-step process is called the Laplacian of Gaussian (LoG) operation.,NONE
411,IP3-6-2,Edge detectors,The aim of sharpening filters is to highlight transitions in intensity (high frequency components) using different operators: directional (horizontal - vertical - diagonal) or isotropic (e.g. Laplacian Filter). Example of edge detectors include: Gaussian edge detector - Laplacian filter etc.,NONE
412,IP3-6-3-1,Lee-Sigma,The Lee-sigma filter is a conceptually simple but effective alternative to the Lee and other sophisticated adaptive filters. It is based on the sigma probability of the Gaussian distribution.,NONE
413,IP3-6-3,High-pass filtering,High-pass filtering enhance information of high frequencies (local extremes - lines - edges),NONE
414,IP3-6-4-1,Gauss filter,Gaussian Filters are isotropic (same behavior in all directions).,NONE
415,IP3-6-4,Low-pass filtering,Spatial filters transform an image by taking into account the local neighborhood of a pixel. The goal of filtering is to remove unnecessary components from images (e.g. - noise) - while emphasizing the necessary ones. In this context - low pass filters aim at removing sharp transitions in the image intensities (high spatial frequencies).,NONE
416,IP3-6,Neighbourhood analysis (convolution),In contrast to the point operations used for radiometric modification of image data - techniques for geometric processing are characterized by operations over local neighborhoods of pixels. The result of a neighborhood operation is still a modified brightness value for the single pixel at the center of the neighborhood  - however the new value is determined by the brightness of all the local neighbors rather than just the original brightness value of the central pixel alone.,NONE
417,IP3-7-1,Class modelling,Class modelling provides flexibility in designing a transferable workflow from scene-specific high-level segmentation and classification to region-specific multi-scale modelling,NONE
418,IP3-7-2,Hierarchical representation,Hierarchical representation refers to hierarchically scaled compositions of the classes to be classified.,NONE
419,IP3-7-3,Per-parcel analysis,Per-parcel analysis relies on parcels or objects as the smallest units of image analysis. The parcels are usually obtained through image segmentation that partition the input images into homogeneous units - i.e. parcels - in a supervised or unsupervised manner.,NONE
420,IP3-7-4-1,Distance and proximity features,Distance relationships describe how far an object is with respect to a reference. Proximity analysis allows the identification of the distance between a geographic feature of interest and its neighbors.,NONE
421,IP3-7-4-2,Planar geometric features,The most important geometric features of geographic objects are their size and shape.  Shape refers to general form or outline of individual objects and can be quantified using different metric such as shape index - compactness - asymmetry - density - elliptic fit - roundness - rectangular fit etc.,NONE
422,IP3-7-4-3,Topological features,Topological features characterize qualitatively the position of spatial objects relative to each other. There are different models for representing topological relationships.  Calculus-based method - for example -  allows us to model five topological relationships  of two spatial objects: touch - in - cross - overlap - disjoint.,NONE
423,IP3-7-4,Spatial features,An object of a specific object class has a value on the range of values of a spatial or spectral feature. A set of features provides the feature space that is used for classification.,NONE
424,IP3-7,Object-based image analysis (OBIA),OBIA is an iterative method that starts with the segmentation of satellite imagery into homogeneous and contiguous image segments (also called image objects. In the next step - resulting image segments are assigned to the target classes.,NONE
425,IP3-8-1,Feature space polyhedralization,The feature space represents in various dimensions all the features that can be used for classification (e.g. image bands - band math parameters - derived texture properties). A point in that space is also called a vector with values for each feature (or dimension). Polyhedralization is a form of vector space quantization where a vector is assigned to the closest centre point of one polyhedron.,NONE
426,IP3-8-2,Radiative transfer modelling,Radiative transfer models describing the interaction between matter and electromagnetic radiation serve as cornerstones for optical remote sensing. The radiative transfer theory provides the most logical linkage between observations and physical processes that generate signals in optical remote sensing. Radiative transfer modelling is therefore an integral part of  remote sensing - since it provides the most efficient tool for accurate retrievals of Earth properties from satellite data. Radiative transfer models  are used in a number of different applications such as sensor radiometric calibration - atmospheric correction and the modelling radiation processes in vegetation canopies. \rVegetation radiative transfer models (RTMs) study the relationship between leaf and canopy biophysical variables and reflectance - absorbance and scattering mechanisms. The infinite variability of vegetation structure complicates the modeling of RT in vegetation canopies. Numerous models of RT in vegetation canopies were developed in the second half of the last century. Models differ by the details accounted for and by the simplifications introduced in the description of canopy structure and photon–vegetation interactions. Gradual improvement in RTMs accuracy - yet in complexity too - have diversified RTMs from simple turbid medium RTMs towards advanced Monte Carlo RTMs that allow for explicit 3D representations of complex canopy architectures. This evolution has resulted in an increase in the computational requirements to run the model - which bears implications towards practical applications. When choosing an RTM - a trade-off between invertibility and realism has to be made: simpler models are easier to invert but less realistic - while advanced models more realistic but require a large amount of variables to be configured. The two most widely used models are the leaf model PROSPECT and Scattering by Arbitrary Inclined Leaves (SAIL) canopy model. \rAtmosphere RTMs study the interaction of radiation with the atmosphere. The remotely-sensed signals at satellite or airborne platforms are combinations of surface and atmospheric contributions - with relative amounts varying across the two wavelength regions - depending on the condition of the atmosphere.  The order of magnitude of atmosphere signals can be equal or larger than that of land or ocean surface signals that arise at the top of the atmosphere (TOA). In order to derive accurate sensor calibration and atmospheric correction - the contribution of the atmospheric constituents to the total retrieved signal must be understood and modelled. Atmospheric radiative transfer models simulate the radiative transfer interactions of light scattering -  absorption and emission through the atmosphere. Some widely used atmospheric RTMs are 6SV - libRadtran - MODTRAN - and ATCOR.\rAdvances in radiative transfer modeling enhance our ability to detect and monitor changes in our planet through new methodologies and technical approaches to analyze and interpret measurements from air- and space-borne sensors.,REMOTE SENSING
427,IP3-8,Physical-model based analysis,Historically - physical modelling and machine learning have often been treated as two different fields with very different scientific paradigms (theory-driven versus data-driven). Yet - in fact these approaches are complementary - with physical approaches in principle being directly interpretable and offering the potential of extrapolation beyond observed conditions - whereas data-driven approaches are highly flexible in adapting to data and are amenable to finding unexpected patterns (surprises).,NONE
428,IP3-9-1,Difference of Gaussian (DoG),Difference of Gaussians (DoG) method consists of subtracting two Gaussians - where a kernel has a standard deviation smaller than the previous one. The convolution between the subtraction of kernels and the input image results in the edge detection of this image.,NONE
429,IP3-9-2,Scale invariant feature transformation (SIFT),Scale Invariant Feature Transform (SIFT) is an image descriptor for image-based matching and it is used for a large number of purposes in computer vision related to point matching between different views of a 3-D scene and view-based object recognition. The SIFT descriptor is invariant to translations - rotations and scaling transformations in the image domain and robust to moderate perspective transformations and illumination variations. Experimentally - the SIFT descriptor has been proven to be very useful in practice for robust image matching and object recognition under real-world conditions.,NONE
430,IP3-9,Scale space analysis,Scale-space theory is a framework for multiscale image representation - which has been developed by the computer vision community with complementary motivations from physics and biologic vision. The idea is to handle the multiscale nature of real-world objects - which implies that objects may be perceived in different ways depending on the scale of observation. If one aims to develop automatic algorithms for interpreting images of unknown scenes - there is no way to know a priori what scales are relevant. Hence - the only reasonable approach is to consider representations at all scales simultaneously.,NONE
431,IP3,Image understanding,Image data - in order to be turned into information - require interpretation. Thereby image understanding is the process of scene reconstruction - the description and mental representation of the content of imaged - and potentially complex - realities. \rImage understanding thereby goes beyond single feature extraction. Instead - it aims at  a complete description of the image content - i.e. the reconstruction of a real-world scene. In the early days of digital image processing - image understanding was mainly confined to identifying and labelling image primitives. Today - advanced mapping keys and hierarchical classification schemes to analyse EO data - include composite and complex target classes. Thereby ‘full’ scene description means reaching from signal processing to a symbolic representation of the scene content. This entails the relationships of real‐world objects in different scales and spatio-temporal aspects.\rDescribing a scene - visually or computer-aided or mixed - depends on a conceptual framework comprising (a) the underlying research question within (b) a specific field of application and (c) pre‐existing knowledge and experience of the operator. Obtaining insights from imagery requires general knowledge about the expected scene content and domain expertise. The field of image understanding is interlinked with image (pre-)processing - computer vision - and artificial intelligence (AI). Image processing conditions the data material and enhances the interpretation source. Computer vision including pattern recognition providing knowledge representation - expert systems. AI is mainly concerned with automation processes - be it via  knowledge transfer to an automated system or machine / deep learning.\rIn analogy to the human mind - image understanding is the computational process of extracting information from images - i.e. locating - characterizing - and recognizing objects and other features in the depicted scene. However - image understanding is not a linear - but rather a cyclic process and takes place during the pre-processing and data assimilation steps. For example - cloud masks on EO images is an early product of image understanding - prior to many pre-processing tasks.\rIn a typical GEOBIA workflow - the process of image understanding can be illustrated by the following steps: Starting from the subset of a real‐world scene captured on an image first step may entail scaled representations by grouping neighbouring pixels on several hierarchical sales. The multi‐scale segmentation provides a set of nested objects with geospatial and spectral properties to be used in the classification process. \rWith object hypotheses in mind the object relation modelling can be realized by encoding expert knowledge into a rule system. This setp aims at categorizing the image objects by their spectral and spatial properties and their mutual relationships. Hereby - an object‐centred view is accomplished. This representation of the image content should meet the conceptual reality of the interpreter or user. Knowledge is stepwise adapted and improved through progressive interpretation and modelling. Experience grows - as knowledge will be enriched by analyzing unknown scenes and the transfer of knowledge may incorporate or stimulate new rules.,NONE
432,IP4-1-1,Accessibility,Once the user finds the required data - she/he needs to know how can they be accessed - possibly including authentication and authorisation.,NONE
433,IP4-1-2,GEO QA4EO,Quality Indicators (QIs) should be ascribed to data and - in particular - to delivered information products - at each stage of the data processing chain - from collection and processing to delivery. A QI should provide sufficient information to allow all users to readily evaluate a product’s suitability for their particular application - i.e. its “fitness for purpose”.,NONE
434,IP4-1-4,ISO standards,ISO is an independent - non-governmental international organization with a membership of 164 national standards bodies. Through its members - it brings together experts to share knowledge and develop voluntary - consensus-based - market relevant International Standards that support innovation and provide solutions to global challenges. ISO/TC 211 Geographic information/Geomatics provides Standardization in the field of digital geographic information. Note: This work aims to establish a structured set of standards for information concerning objects or phenomena that are directly or indirectly associated with a location relative to the Earth. These standards may specify - for geographic information - methods - tools and services for data management (including definition and description) - acquiring - processing - analyzing - accessing - presenting and transferring such data in digital / electronic form between different users - systems and locations.,NONE
435,IP4-1-5,OGC standards,The OGC is the worldwide leading consortium of GIS industries promoting the interoperability of geographic information across platform - system - and country borders. The main field of current activity is the complete integration of the sources of geographic information based on the Internet.The Open GIS Consortium (OGC) plays an important role on the implementation level.,NONE
436,IP4-1-6,Replicability and reproducibility,A fundamental pillar in (open) science is to verify the scientific results of others to advance knowledge. The lack of reproducibility in scientific studies brings challenges in understanding and recreating the results of others - a situation that may be common in data-based and algorithm-based research like in geocomputation. In general - many authors define reproducibility as the ability to compute exactly the same results of a study based on original input data and analysis workflow. In other words - “to rerun the same computational steps on the same data the original authors used”.  Replicability is often seen as obtaining similar conclusions about a research question derived from an independent study or experiment. In the field of GIScience and geocomputation - in particular - a reproduction is always an exact copy or duplicate - with exactly the same features and scale - while a replication resembles the original but allows for variations in scale - for example. Hence - reproducibility is exact whereas replicability means confirming the original conclusions - although not necessarily with the same input data - methods - or results.,NONE
437,IP4-1-7,Reusability,The ultimate goal of FAIR is to optimise the reuse of data. To achieve this - metadata and data should be well-described so that they can be replicated and/or combined in different settings.,NONE
438,IP4-1,Data quality standards,Data quality standards are guiding principles and operational guidelines for the production and use of data. For example - QA4EO aims for the two key principles of accessibility / availability and suitability / reliability. The QA4EO guidelines provide instructions for the implementation of processes that follow these principles. Standards emerge from standardization processes within the community. They are based on the agreement of the members of the community.,NONE
439,IP4-2-1-1,Error matrix,To correctly perform a classification accuracy (or error) assessment - it is necessary to systematically compare two sources of information: (1) pixels or polygons in a remote sensing-derived classification map - and (2) ground reference test information (which may in fact contain error). The relationship between these two sets of information is commonly summarized in an error matrix (sometimes referred to as contingency table or confusion matrix). Indeed - the error matrix provides the basis on which to both describe classification accuracy and characterize errors - which may help refine the classification or estimates derived from it.,REMOTE SENSING
440,IP4-2-1-2,F-score,F-score represents the harmonic mean between precision and recall. As F-score combines both precision and recall - it can be regarded as an overall quality measure. The range of F is from 0 to 1 with larger values representing higher accuracy.,NONE
441,IP4-2-1-3,Ground reference,Ground reference refers to the reference dataset for an accuracy assessment of a remote sensing classification. The process of obtaining ground reference is dedicated to support the production of suitable accuracy information. A sampling design (fitting to the produced image classification) determines the most appropriate distribution of sample locations (or regions). The response design consists of the evaluation protocol and the labeling protocol. The evaluation protocol initiates selecting the support region on the ground (represented by a pixel or polygon) where the ground information will be collected. Once the location and dimension of the sampling unit are defined - the labelling protocol is initiated and the sampling unit is assigned a hard or fuzzy ground reference label. This ground reference label (e.g. forest) is paired with the remote sensing-derived label (e.g. - forest) for assignment in the error matrix.,REMOTE SENSING
442,IP4-2-1-4,Kappa statistics,Kappa is a value for measuring the overall accuracy of a classification that accounts for randomness of class assignment. Kappa analysis is a discrete multivariate technique of use in accuracy assessment. Kappa yields a statistic - ^K - which is an estimate of Kappa. It is a measure of agreement between the remote sensing-derived classification map and the reference data as is indicated by a) the major diagonal and b) the chance of agreement - which is indicated by the row and column totals in the error matrix.,REMOTE SENSING
443,IP4-2-1-5,Precision & recall,These two quality assessment indicators are calculated as follows:\rPrecision = TP/(TP+FP) \rRecall = TP/(TP+FN) -\rwhere TS is true positive - FP is false positive - FN is false negative,NONE
444,IP4-2-1-6,Root mean square error (RMSE),Geometric correction procedures (image-to-map rectification - image-to-image rectification) are used to rectify remotely sensed data to a standard map projection whereby it may be used in conjunction with other spatial information in a GIS to solve problems. The rectification process normally involves selecting ground control point (GCP) image pixel coordinates (row and column) with their map coordinate counterparts (e.g. meters northing and easting in a UTM map projection). Rectification requires that polynomial equations (that translate from image coordinates to map coordinates) be fit to the GCP data using least squares criteria. Depending on the distortion in the imagery - the number of GCPs used - and the degree of topographic reliefdisplacement in the area - higher -order polynomial equations may be required to geometrically correct the data. To determine how well the six coefficients derived from the least-squares registration of the initial GCPs account for geometric distortion in the inpit image - for each GCP - the root-mean-square error (RMSE) is computed.,NONE
